nom_op,id_station_anfr,latitude,longitude,nom_reg,nom_dep,insee_dep,nom_com
Orange,772290087.0,"48,59111","2,64861",Île-de-France,Seine-et-Marne,77,Vert-Saint-Denis
Orange,772290349.0,"48,39444","2,76333",Île-de-France,Seine-et-Marne,77,Fontainebleau
Orange,772290075.0,"48,91806","2,76",Île-de-France,Seine-et-Marne,77,Jablines
Orange,772290097.0,"48,97834","2,63583",Île-de-France,Seine-et-Marne,77,Mitry-Mory
Orange,772290215.0,"48,85055","2,58445",Île-de-France,Seine-et-Marne,77,Champs-sur-Marne
Orange,772290408.0,"48,41","2,63194",Île-de-France,Seine-et-Marne,77,Fontainebleau
Orange,772290107.0,"48,83472","2,6675",Île-de-France,Seine-et-Marne,77,Collégien
Orange,772290247.0,"48,91056","2,63861",Île-de-France,Seine-et-Marne,77,Villevaudé
Orange,772290182.0,"48,84417","2,79139",Île-de-France,Seine-et-Marne,77,Serris
Orange,772290364.0,"48,96667","2,57445",Île-de-France,Seine-et-Marne,77,Mitry-Mory
Orange,772290159.0,"48,38944","2,555",Île-de-France,Seine-et-Marne,77,Noisy-sur-École
Orange,772290082.0,"48,85667","2,62749",Île-de-France,Seine-et-Marne,77,Noisiel
Orange,772290085.0,"48,79639","3,20527",Île-de-France,Seine-et-Marne,77,Saint-Siméon
Orange,772290092.0,"48,95028","2,80611",Île-de-France,Seine-et-Marne,77,Trilbardou
Orange,772290492.0,"48,90889","2,94555",Île-de-France,Seine-et-Marne,77,Boutigny
Orange,772290273.0,"48,72167","2,65195",Île-de-France,Seine-et-Marne,77,Chevry-Cossigny
Orange,772290277.0,"48,70278","2,87667",Île-de-France,Seine-et-Marne,77,Fontenay-Trésigny
Orange,772290330.0,"48,85944","2,90222",Île-de-France,Seine-et-Marne,77,Crécy-la-Chapelle
Orange,772290086.0,"48,66416","3,13",Île-de-France,Seine-et-Marne,77,Jouy-le-Châtel
Orange,772290101.0,"48,83167","2,59055",Île-de-France,Seine-et-Marne,77,Émerainville
Orange,772290099.0,"48,69444","3,44778",Île-de-France,Seine-et-Marne,77,Montceaux-lès-Provins
Orange,772290354.0,"48,55972","3,15694",Île-de-France,Seine-et-Marne,77,Maison-Rouge
Orange,772290093.0,"48,2875","2,53055",Île-de-France,Seine-et-Marne,77,Amponville
Orange,772290090.0,"48,61472","2,8875",Île-de-France,Seine-et-Marne,77,Mormant
Orange,772290100.0,"48,22306","2,75973",Île-de-France,Seine-et-Marne,77,Poligny
Orange,772290095.0,"48,63916","2,77195",Île-de-France,Seine-et-Marne,77,Yèbles
Orange,772290155.0,"48,3125","2,6361",Île-de-France,Seine-et-Marne,77,Villiers-sous-Grez
Orange,772290206.0,"48,36306","2,57528",Île-de-France,Seine-et-Marne,77,Achères-la-Forêt
Orange,772290170.0,"48,61583","3,29778",Île-de-France,Seine-et-Marne,77,Saint-Hilliers
Orange,772290108.0,"48,50139","2,58472",Île-de-France,Seine-et-Marne,77,Villiers-en-Bière
Orange,772290130.0,"48,68861","3,07527",Île-de-France,Seine-et-Marne,77,Vaudoy-en-Brie
Orange,772290110.0,"48,7775","3,05194",Île-de-France,Seine-et-Marne,77,Beautheil-Saints
Orange,772290156.0,"48,77472","2,89888",Île-de-France,Seine-et-Marne,77,Crèvecœur-en-Brie
Orange,772290203.0,"48,83139","2,88",Île-de-France,Seine-et-Marne,77,Voulangis
Orange,772290202.0,"48,74361","2,87917",Île-de-France,Seine-et-Marne,77,La Houssaye-en-Brie
Orange,772290111.0,"48,87611","2,7525",Île-de-France,Seine-et-Marne,77,Montévrain
Orange,772290129.0,"48,68167","2,81028",Île-de-France,Seine-et-Marne,77,Chaumes-en-Brie
Orange,772290175.0,"49,02195","2,59917",Île-de-France,Seine-et-Marne,77,Le Mesnil-Amelot
Orange,772290121.0,"49,01556","2,70473",Île-de-France,Seine-et-Marne,77,Juilly
Orange,772290158.0,"48,25194","2,76777",Île-de-France,Seine-et-Marne,77,Poligny
Orange,772290146.0,"48,98778","2,85667",Île-de-France,Seine-et-Marne,77,Penchard
Orange,772290188.0,"48,88556","3,09027",Île-de-France,Seine-et-Marne,77,Jouarre
Orange,772290128.0,"48,87222","3,26639",Île-de-France,Seine-et-Marne,77,La Trétoire
Orange,772290106.0,"48,79806","2,70584",Île-de-France,Seine-et-Marne,77,Pontcarré
Orange,772290132.0,"48,515","2,65111",Île-de-France,Seine-et-Marne,77,Dammarie-les-Lys
Orange,772290185.0,"48,83222","3,01166",Île-de-France,Seine-et-Marne,77,Mouroux
Orange,772290294.0,"48,75916","2,70056",Île-de-France,Seine-et-Marne,77,Ozoir-la-Ferrière
Orange,772290137.0,"48,70055","2,695",Île-de-France,Seine-et-Marne,77,Grisy-Suisnes
