nom_op,id_station_anfr,latitude,longitude,nom_reg,nom_dep,insee_dep,nom_com
Orange,0912290020,"48,48056","2,36833",Île-de-France,Essonne,91,La Ferté-Alais
Orange,0772290023,"48,68083","2,96388",Île-de-France,Seine-et-Marne,77,Rozay-en-Brie
Orange,0782290145,"48,68778","2,06056",Île-de-France,Yvelines,78,Saint-Rémy-lès-Chevreuse
Orange,0922290474,"48,80723","2,18639",Île-de-France,Hauts-de-Seine,92,Chaville
Orange,0752290370,"48,825","2,38694",Île-de-France,Paris,75,Paris
Orange,0752291469,"48,88833","2,3461",Île-de-France,Paris,75,Paris
Orange,0952290018,"49,06305","2,11333",Île-de-France,Val-d'Oise,95,Ennery
Orange,0912290202,"48,67806","2,34611",Île-de-France,Essonne,91,Savigny-sur-Orge
Orange,0772290026,"48,69667","3,2461",Île-de-France,Seine-et-Marne,77,Beton-Bazoches
Orange,0782290032,"48,56639","1,94305",Île-de-France,Yvelines,78,Saint-Arnoult-en-Yvelines
Orange,0922290254,"48,88667","2,2389",Île-de-France,Hauts-de-Seine,92,Puteaux
Orange,0932290022,"48,87166","2,56833",Île-de-France,Seine-Saint-Denis,93,Gagny
Orange,0942290219,"48,7775","2,40194",Île-de-France,Val-de-Marne,94,Vitry-sur-Seine
Orange,0752290357,"48,8275","2,33583",Île-de-France,Paris,75,Paris
Orange,0752291175,"48,87444","2,37472",Île-de-France,Paris,75,Paris
Orange,0952290007,"49,00389","2,23",Île-de-France,Val-d'Oise,95,Le Plessis-Bouchard
Orange,0912290019,"48,72166","2,50055",Île-de-France,Essonne,91,Yerres
Orange,0772290013,"48,8225","3,09639",Île-de-France,Seine-et-Marne,77,Coulommiers
Orange,0922290414,"48,84278","2,23166",Île-de-France,Hauts-de-Seine,92,Boulogne-Billancourt
Orange,0932290023,"48,83555","2,54806",Île-de-France,Seine-Saint-Denis,93,Noisy-le-Grand
Orange,0912290258,"48,73416","2,36778",Île-de-France,Essonne,91,Paray-Vieille-Poste
Orange,0752290470,"48,87306","2,34444",Île-de-France,Paris,75,Paris
Orange,0952290023,"48,96278","2,19528",Île-de-France,Val-d'Oise,95,Cormeilles-en-Parisis
Orange,0912290014,"48,6875","2,51249",Île-de-France,Essonne,91,Épinay-sous-Sénart
Orange,0772290313,"48,77555","3,29028",Île-de-France,Seine-et-Marne,77,La Ferté-Gaucher
Orange,0782290214,"48,78139","2,04611",Île-de-France,Yvelines,78,Guyancourt
Orange,0922290015,"48,90861","2,255",Île-de-France,Hauts-de-Seine,92,La Garenne-Colombes
Orange,0752290194,"48,82555","2,37777",Île-de-France,Paris,75,Paris
Orange,0912290035,"48,64722","2,27",Île-de-France,Essonne,91,Montlhéry
Orange,0772290027,"48,4025","3,025",Île-de-France,Seine-et-Marne,77,Saint-Germain-Laval
Orange,0782290020,"48,85778","2,12889",Île-de-France,Yvelines,78,Bougival
Orange,0932290010,"48,88972","2,545",Île-de-France,Seine-Saint-Denis,93,Gagny
Orange,0942290050,"48,80806","2,42166",Île-de-France,Val-de-Marne,94,Alfortville
Orange,0752290437,"48,82167","2,32917",Île-de-France,Paris,75,Paris
